Glottocode,language,coronal,elevation
abau1245,Abau,3,51
achi1257,Achinese,10,12
adam1253,Adamawa Fulfulde,12,370
adan1251,Adang,9,316
aheu1239,Thavung,18,150
akha1245,Akha,15,1109
akla1241,Aklanon,6,140
alya1239,Alyawarr,18,240
aman1265,Amanab,4,412
ambe1247,Ambele,16,429
ambu1247,Ambulas,8,101
anei1239,Aneityum,8,557
anti1245,Antigua and Barbuda Creole English,13,24
anua1242,Anuak,11,432
apur1254,Apurinã,8,138
arag1245,Aragonese,12,657
aran1237,Arandai,6,20
arhu1242,Arhuaco,8,3650
auuu1241,Au,4,356
awac1239,Awa-Cuaiquer,8,453
awar1248,Awara,5,1281
awin1248,Awing,18,1972
awtu1239,Awtuw,5,241
baba1264,Baba,11,1527
baba1266,Babanki,13,1731
bafa1247,Bafaw-Balong,11,98
baga1272,Baga Sitemu,7,3
baga1273,Baga Koga,8,17
bako1249,Bakoko,10,26
bako1250,Bakole,10,31
bamb1265,Bambalang,16,1150
bame1260,Bamenyam,21,1222
bamu1253,Bamun,11,960
bamu1256,Bamunka,10,1171
bang1356,Bangolan,14,1207
bani1255,Baniwa do Icana,12,152
baou1238,Baoulé,6,9
barb1263,Barbareño,35,315
bari1286,Bariai,6,237
baru1269,Baruga,6,63
bata1285,Batanga,10,46
bata1289,Batak Toba,8,948
befa1241,Befang,18,573
beli1260,Belize Kriol English,11,33
bemb1257,Bemba (Zambia),7,1257
berb1259,Berbice Creole Dutch,9,25
bett1235,Betta Kurumba,13,1042
biak1248,Biak,6,187
bili1250,Bilinarra,11,254
bilo1248,Biloxi,5,81
bilu1245,Bilua,9,176
bina1277,Binandere,4,35
binu1245,Binumarien,4,883
blan1242,Blang,11,1229
boik1241,Boikin,8,235
bond1245,Bondo,12,100
bong1285,Bongo,9,504
boro1277,Boro (Ethiopia),7,840
brok1247,Brokskat,17,3231
bubi1249,Bubia,11,166
buku1249,Bukusu,9,1631
bumb1241,Bumbita Arapesh,8,204
cavi1250,Cavineña,12,173
cham1318,Chamicuro,12,129
chec1245,Chechen,14,178
chee1238,Che,10,999
chep1245,Chepang,8,1595
chic1270,Chickasaw,7,266
chim1300,Chimalapa Zoque,9,263
chim1301,Chimariko,17,1740
chim1302,Chimborazo Highland Quichua,19,3888
choc1276,Choctaw,7,137
chol1282,Chol,10,260
chon1284,Chong of Chanthaburi,10,21
chra1242,Chrau,10,182
coeu1236,Coeur d'Alene,17,803
colo1256,Tsafiki,7,440
coma1245,Comanche,4,332
como1259,Comox,15,42
croa1245,Croatian Standard,16,92
crow1244,Crow,5,1014
cupe1243,Cupeño,11,1443
cuvo1236,Cuvok,14,718
czec1258,Czech,15,468
deny1238,Denya,9,133
diml1238,Dimli,15,1667
dobu1241,Dobu,5,32
dupa1235,Dupaninan Agta,5,759
dutc1256,Dutch,10,-3
east2295,Eastern Yiddish,24,187
east2328,Eastern Mari,12,45
east2398,Eastern Karaboro,6,264
east2440,East Makian,22,308
egaa1242,Ega,11,109
eggo1239,Eggon,14,161
ekpe1253,Ekpeye,11,15
elip1238,Elip,8,440
esim1238,Esimbi,12,693
faiw1243,Faiwol,5,1233
fang1246,Fang (Equatorial Guinea),11,625
fili1244,Filipino,6,46
friu1240,Friulian,16,194
furu1242,Furu,12,406
fwee1238,Fwe,24,940
gali1258,Galician,12,1107
gayo1244,Gayo,9,1067
gbar1246,Gbari,10,156
gbay1281,Gbaya-Mbodomo,11,697
gida1247,Gidar,12,394
goli1247,Golin,6,1743
guaj1255,Guajajára,5,308
guan1269,Kotiria,6,143
guja1253,Gujari,19,862
gunw1252,Bininj Kun-Wok,12,72
halk1245,Halkomelem,13,94
hang1263,Hanga Hundi,8,54
haya1250,Haya,10,1435
hoav1238,Hoava,7,254
huam1248,Huamalíes-Dos de Mayo Huánuco Quechua,11,1471
huar1255,Huarijio,5,1203
huas1242,Huastec,13,69
huay1240,Huaylas Ancash Quechua,10,4528
hueh1236,Huehuetla Tepehua,14,331
huic1243,Huichol,7,1170
hung1278,Hungana-Saamba,8,355
hupd1244,Hupdë,7,156
iban1261,Ibani,10,5
ibib1240,Ibibio,7,47
idaa1241,Ida'an,8,64
ilok1237,Iloko,7,287
imon1245,Imonda,6,284
indo1316,Indonesian,11,556
ingu1240,Ingush,17,661
iseb1246,Isebe,3,258
ital1282,Italian,14,530
izer1241,Izere,14,1041
jama1261,Madi,4,96
jama1262,Jamaican Creole English,10,457
jauj1238,Jauja Wanca Quechua,11,4697
jeme1245,Towa,17,1733
jiar1240,Northern Gyalrong,30,4592
jica1244,Jicarilla Apache,20,2401
juan1238,Juang,13,282
kabi1261,Kabiyé,11,191
kaby1243,Kabyle,12,482
kadi1248,Kadiwéu,9,86
kala1381,Kalabari,9,6
kama1367,Kamasau,10,96
kano1245,Kanoê,5,142
kara1476,Karadjeri,11,135
kari1301,Karipúna Creole French,11,66
kari1311,Karitiâna,5,125
kaya1329,Kayabí,4,345
kela1255,Kela (Papua New Guinea),8,27
kens1251,Kenswei Nsei,30,1403
keny1279,Kenyang,8,165
keoo1238,Kéo,10,382
khan1273,Kazym-Berezover-Suryskarer Khanty,10,54
khar1287,Kharia,22,376
kich1262,K'iche',11,1366
kima1246,Kimaama,8,6
kinn1249,Kinnauri,19,4637
kiny1244,Kinyarwanda,16,1611
kiri1254,Kirike,10,22
koas1236,Koasati,6,14
koko1269,Kokota,10,44
konn1242,Konni,13,174
kris1246,I'saka,3,542
kulu1253,Kulung (Nepal),10,1775
kuot1243,Kuot,6,564
kusu1250,Kusunda,14,2429
kute1248,Kutep,15,220
kuvi1243,Kuvi,12,554
kwaz1243,Kwaza,16,176
lada1244,Leh-Kenhat,22,5176
lake1258,Lake Miwok,16,516
lang1320,Langi,15,1236
laoo1244,Lao,12,153
lavu1241,Lavukaleve,6,37
lazz1240,Laz,18,1469
leal1235,Lealao Chinantec,12,1326
liby1240,Libyan Arabic,18,584
liji1238,Lijili,14,138
lisu1250,Lisu,10,383
loni1238,Loniu,7,75
loxi1235,Loxicha Zapotec,13,207
luch1239,Luchazi,19,1061
lund1266,Lunda,11,1225
luya1241,Luyi,9,1030
lyel1241,Lyélé,8,275
mace1250,Macedonian,17,919
mada1293,Mada (Cameroon),9,491
madi1261,Madi (Papua New Guinea),20,67
maib1239,Maybrat-Karon,4,114
mako1251,Makonde,9,55
mall1246,Mal,7,996
malo1243,Tamambo,7,157
mamb1294,Mambai,8,229
mamm1241,Mam,18,1816
mana1288,Manange,15,3673
mana1295,Manam,7,1346
mand1415,Mandarin Chinese,14,88
mand1436,Mandinka,9,45
mani1292,Manipuri,12,312
mara1385,Marra,13,10
marw1260,Marwari (India),22,364
matb1237,Matbat,5,158
mats1244,Matsés,9,151
maza1291,Mazanderani,11,1715
medu1238,Medumba,7,1311
mesc1238,Mescalero-Chiricahua Apache,20,2442
mewa1250,Mewati,18,210
mich1243,Michif,13,534
mich1245,Michoacán Nahuatl,10,148
ming1252,Mingrelian,16,109
mmen1238,Mmen,13,925
moco1246,Mocoví,11,64
moke1242,Moken,10,0
mola1238,Molale,9,161
mono1270,Mono (Democratic Republic of Congo),15,413
mose1249,Mosetén-Chimané,14,385
motl1237,Mwotlap,5,31
mpon1254,Mpongmpong,12,594
mufi1238,Mufian,5,173
muna1247,Muna,12,76
mund1330,Mundurukú,8,108
mung1266,Mungaka,8,1374
naga1394,Naga Pidgin,13,1361
naki1238,Naki,19,738
nami1256,Namia,4,63
nand1266,Nandi,7,2146
nang1259,Nangikurrunggurr,11,113
nank1250,Nankina,5,1140
ndem1249,Ndemli,15,115
nepa1253,Nepali Kurux,18,77
ngad1261,Ngad'a,9,1186
ngal1293,Ngalakgan,10,123
ngem1255,Ngemba,14,1220
ngom1271,Ngombale,16,1708
ngos1238,Ngoshie,14,1254
nige1257,Nigerian Pidgin,10,278
ning1273,Ningil,5,418
nisg1240,Nisga'a,12,22
nort2626,Northern Frisian,12,0
nort2627,Eastern Low German,13,67
nort2684,Northern Khmer,11,220
nort2845,North Marquesan,5,333
nort2943,North Alaskan Inupiatun,11,0
nort2954,Northern Paiute,5,1165
nort2966,Northern Pomo,17,360
nort2984,Northern Pame,26,1375
nubi1253,Nubi,14,1134
nucl1290,Zhenkang Wa,13,1729
nucl1634,Skou,5,36
nucl1695,Bole,16,450
nuer1246,Nuer,11,409
nuuc1236,Nuu-chah-nulth,13,614
nyam1276,Nyamwezi,18,1272
nyan1307,Nyankole,11,1431
nyeu1238,Nyeu,8,136
nyon1241,Nyong,8,1179
obol1243,Obolo,10,22
okuu1243,Oku,8,2019
olut1240,Oluta Popoluca,10,62
onge1236,Önge,8,159
orok1266,Oroko,11,386
orok1269,Orokaiva,5,201
osse1243,Ossetian,16,852
pagi1243,Pagibete,11,484
pala1344,Palauan,5,19
pana1305,Panamint,7,1040
paok1235,Pa'o Karen,9,955
pate1247,Patep,9,1111
peta1245,Petats,6,122
phai1238,Prai,8,677
phal1254,Phalura,18,2948
pila1245,Pilagá,8,119
poli1260,Polish,20,126
pwon1235,Pwo Northern Karen,11,1113
qima1242,Qimant,12,1205
quec1382,Quechan,20,36
rama1270,Rama,8,29
rund1242,Rundi,11,1271
saba1268,Sabanê,5,312
saki1248,Mekens,4,156
sala1272,Salasaca Highland Quichua,14,2483
samb1305,Samba Leko,9,912
samo1303,Samo,4,138
samr1245,Samre of Siem Reap,10,32
sanj1284,San Juan Guelavía Zapotec,17,1612
sanm1287,San Mateo del Mar Huave,10,5
sanu1240,Sanumá,6,121
sasa1249,Sasak,9,297
sata1237,Satawalese,12,0
sava1244,Savara,12,260
sayu1241,Sayula Popoluca,10,70
seco1241,Secoya,4,211
seim1238,Seimat,4,0
sela1259,Selaru,6,39
seme1247,Semelai,17,67
sera1259,Saraiki,28,121
seri1257,Seri,7,188
serr1255,Serrano,16,731
shab1252,Shabo,14,1683
shaw1249,Shawnee,6,313
shon1251,Shona,20,1216
siar1238,Siar-Lak,6,556
sida1246,Sidamo,14,1781
siks1238,Siksika,5,1232
sind1272,Sindhi,20,20
sipa1247,Sipacapense,11,2186
siss1243,Sissano,18,15
slov1268,Slovenian,12,1195
soch1239,Sochiapam Chinantec,9,682
sout2750,Southern Yukaghir,11,0
sout2840,Southern Bobo Madaré,8,321
sout2844,Southern Samo,9,276
sout2856,South Efate,6,236
sout2895,South Nuaulu,5,120
spok1245,Spokane,15,726
stan1289,Catalan,14,619
subi1246,Subiya,21,933
suri1267,Tirma-Chai,12,1104
surs1246,Sursurunga,6,813
swed1254,Swedish,9,27
tagw1240,Tagwana Senoufo,9,311
tami1289,Tamil,14,106
tana1290,Tanacross,25,0
taro1264,Seediq,20,1174
tata1257,Tatana,8,13
tatu1247,Tatuyo,4,219
tern1247,Ternate,9,1633
texi1237,Texistepec Popoluca,11,25
thul1246,Thulung,16,2514
tibe1272,Tibetan,14,5409
tilq1235,Tilquiapan Zapotec,12,1769
tinp1237,Tinputz,4,181
tiwi1244,Tiwi,7,74
tlac1235,Tlachichilco Tepehua,13,323
toba1269,Toba,11,139
tokp1240,Tok Pisin,7,197
tolo1259,Tolowa-Chetco,14,81
tong1325,Tonga (Tonga Islands),4,16
torw1241,Torwali,23,4139
tote1238,Totela,18,1063
tsha1245,Tshangla,21,1920
tsuv1239,Tsuvadi,17,257
tuka1248,Tukang Besi North,10,137
tuvi1240,Tuvinian,11,613
tzot1259,Tzotzil,11,997
tzut1248,Tz'utujil,12,2101
ukra1253,Ukrainian,13,1349
ulwa1239,Ulwa,9,9
urii1240,Uri,5,1275
usar1243,Usarufa,6,1982
utes1238,Ute-Southern Paiute,5,1842
vaii1241,Vai,11,17
wamb1259,Wambon,6,79
wari1268,Wari',5,153
wash1253,Washo,10,1925
waya1269,Wayana,3,182
west2441,Western Arrarnta,18,621
west2560,West Coast Bajau,8,12
woge1237,Wogeo,7,239
yalu1240,Yalunka,8,490
yape1248,Yapese,11,37
yawa1260,Yawanawa,7,261
yekh1238,Yekhee,9,296
yeyi1239,Yeyi,34,948
yill1241,Yil,5,818
yine1238,Yine,10,355
yuch1247,Yuchi,22,247
yuki1243,Yuki,12,681
yura1255,Yuracaré,10,209
yuro1248,Yurok,10,756
zaiw1241,Zaiwa,11,1978
zoog1238,Zoogocho Zapotec,17,2507
