,language,constrictedGlottis,elevation
aona1235,Ao Naga,1,605
bodo1267,Bodo Gadaba,8,979
bond1245,Bondo,1,100
garo1247,Garo,1,114
gata1239,Gata',1,1174
halb1244,Halbi,1,424
hooo1248,Ho,1,135
karb1241,Hills Karbi,1,127
khar1287,Kharia,1,376
khas1269,Khasi,1,38
kond1295,Konda-Dora,1,959
kork1243,Korku,1,485
kuii1252,Kui (India),1,490
kuru1302,Kurukh,1,284
kuvi1243,Kuvi,1,554
lush1249,Mizo,1,102
mani1292,Manipuri,1,312
miju1243,Kman,2,1780
moyo1238,Moyon,1,670
mund1320,Mundari,2,50
pait1244,Paite Chin,1,1313
sant1410,Santali,4,30
sora1254,Sora,1,944
sumi1235,Sumi Naga,1,790
tase1235,Pangwa Naga,1,834
thad1238,Thado Chin,1,1270
1,Apucikwar,0,58
2,Angami Naga,0,469
3,Apatani,0,424
4,Assamese,0,46
5,Awadhi,0,128
6,Badaga,0,1981
7,Balti,0,5605
8,Lambadi,0,361
9,Bengali,0,8
10,Bhili,0,703
11,Boro (Ethiopia),0,840
12,Brokskat,0,3231
13,Bundeli,0,281
14,Chaudangsi,0,1690
15,Chokri Naga,0,1854
16,Darma,0,1535
17,Gade Lohar,0,219
18,Galo,0,621
19,Gujari,0,862
20,Gujarati,0,105
21,Hindi,0,416
22,Irula of the Nilgiri,0,32
23,Jaunsari,0,1143
24,Juang,0,282
25,Kangri,0,674
26,Kannada,0,709
27,Saurashtra,0,214
28,Kashmiri,0,1623
29,Jennu Kurumba,0,1940
30,Khezha Naga,0,1413
31,Kodava,0,948
32,Northwestern Kolami,0,265
33,Mudhili Gadaba,0,60
34,Maharashtrian Konkani,0,723
35,Korra Koraga,0,102
36,Kota (India),0,1456
37,Koya,0,111
38,Kumaoni,0,1278
39,Leh-Kenhat,0,5176
40,Lepcha,0,1197
41,Lotha Naga,0,511
42,Maithili,0,62
43,Malayalam,0,153
44,Sauria Paharia,0,137
45,Mao Naga,0,1447
46,Marathi,0,649
48,Nepali,0,1838
49,Central Nicobarese,0,126
50,Pottangi Ollar Gadaba,0,923
51,Odia,0,139
52,Duruwa,0,605
53,Pattani,0,4066
54,Pengo,0,798
55,Eastern Panjabi,0,227
56,Sanskrit,0,491
57,Shina,0,3704
58,Sindhi,0,20
59,Tamil,0,106
60,East-Central Tangkhul Naga,0,1520
61,Telugu,0,440
62,Toda,0,347
63,Kok Borok,0,14
64,Tulu,0,86
65,Urali of Idukki,0,550
66,Urdu,0,50
67,Vaagri Booli,0,59
68,Ravula,0,882
69,Yerukula,0,132
