,language,high,elevation
anga1288,Angami Naga,16,469
aona1235,Ao Naga,12,605
apat1240,Apatani,19,424
apuc1241,Apucikwar,11,58
assa1263,Assamese,13,46
awad1243,Awadhi,14,128
bada1257,Badaga,14,1981
balt1258,Balti,18,5605
beng1280,Bengali,17,8
bhil1251,Bhili,21,703
bodo1267,Bodo Gadaba,13,979
bond1245,Bondo,14,100
boro1277,Boro (Ethiopia),10,840
brok1247,Brokskat,19,3231
bund1253,Bundeli,17,281
cent1990,Central Nicobarese,10,126
chau1259,Chaudangsi,16,1690
chok1243,Chokri Naga,13,1854
darm1243,Darma,16,1535
duru1236,Duruwa,12,605
gade1236,Gade Lohar,18,219
galo1242,Galo,12,621
garo1247,Garo,5,114
gata1239,Gata',13,1174
guja1252,Gujarati,20,105
guja1253,Gujari,22,862
halb1244,Halbi,15,424
hind1269,Hindi,22,416
hooo1248,Ho,17,135
irul1243,Irula of the Nilgiri,28,32
jaun1243,Jaunsari,18,1143
jenn1240,Jennu Kurumba,11,1940
juan1238,Juang,13,282
kang1280,Kangri,14,674
karb1241,Hills Karbi,15,127
kash1277,Kashmiri,20,1623
khar1287,Kharia,18,376
khas1269,Khasi,16,38
khez1235,Khezha Naga,17,1413
koda1255,Kodava,18,948
kokb1239,Kok Borok,15,14
kond1295,Konda-Dora,14,959
konk1267,Maharashtrian Konkani,15,723
kork1243,Korku,17,485
korr1238,Korra Koraga,14,102
kota1263,Kota (India),14,1456
koya1251,Koya,10,111
kuii1252,Kui (India),14,490
kuma1273,Kumaoni,16,1278
kuru1302,Kurukh,21,284
kuvi1243,Kuvi,16,554
lada1244,Leh-Kenhat,16,5176
lamb1269,Lambadi,32,361
lepc1244,Lepcha,12,1197
loth1237,Lotha Naga,17,511
lush1249,Mizo,11,102
mait1250,Maithili,15,62
mala1464,Malayalam,15,153
mani1292,Manipuri,15,312
maon1238,Mao Naga,8,1447
mara1378,Marathi,18,649
miju1243,Kman,22,1780
moyo1238,Moyon,11,670
mudh1235,Mudhili Gadaba,14,60
mund1320,Mundari,36,50
nepa1254,Nepali,17,1838
nort2699,Northwestern Kolami,11,265
nucl1305,Kannada,16,709
oriy1255,Odia,16,139
pait1244,Paite Chin,7,1313
panj1256,Eastern Panjabi,19,227
patt1248,Pattani,13,4066
peng1244,Pengo,10,798
pott1240,Pottangi Ollar Gadaba,10,923
ravu1237,Ravula,15,882
sans1269,Sanskrit,17,491
sant1410,Santali,18,30
saur1248,Saurashtra,14,214
saur1249,Sauria Paharia,12,137
shin1264,Shina,17,3704
sind1272,Sindhi,25,20
sora1254,Sora,11,944
sumi1235,Sumi Naga,19,790
tami1289,Tamil,14,106
tang1336,East-Central Tangkhul Naga,17,1520
tase1235,Pangwa Naga,9,834
telu1262,Telugu,17,440
thad1238,Thado Chin,10,1270
toda1252,Toda,17,347
tulu1258,Tulu,14,86
ural1274,Urali of Idukki,17,550
urdu1245,Urdu,23,50
vaag1238,Vaagri Booli,15,59
yeru1240,Yerukula,14,132
