Glottocode,language,periodicGlottalSource,elevation
anga1288,Angami Naga,31,469
aona1235,Ao Naga,21,605
apat1240,Apatani,30,424
apuc1241,Apucikwar,24,58
assa1263,Assamese,30,46
awad1243,Awadhi,33,128
bada1257,Badaga,30,1981
balt1258,Balti,35,5605
beng1280,Bengali,35,8
bhil1251,Bhili,49,703
bodo1267,Bodo Gadaba,33,979
bond1245,Bondo,28,100
boro1277,Boro (Ethiopia),21,840
brok1247,Brokskat,37,3231
bund1253,Bundeli,43,281
cent1990,Central Nicobarese,27,126
chau1259,Chaudangsi,28,1690
chok1243,Chokri Naga,25,1854
darm1243,Darma,29,1535
duru1236,Duruwa,24,605
gade1236,Gade Lohar,38,219
galo1242,Galo,23,621
garo1247,Garo,14,114
gata1239,Gata',30,1174
guja1252,Gujarati,46,105
guja1253,Gujari,38,862
halb1244,Halbi,29,424
hind1269,Hindi,44,416
hooo1248,Ho,35,135
irul1243,Irula of the Nilgiri,66,32
jaun1243,Jaunsari,38,1143
jenn1240,Jennu Kurumba,25,1940
juan1238,Juang,29,282
kang1280,Kangri,31,674
karb1241,Hills Karbi,27,127
kash1277,Kashmiri,42,1623
khar1287,Kharia,33,376
khas1269,Khasi,30,38
khez1235,Khezha Naga,34,1413
koda1255,Kodava,43,948
kokb1239,Kok Borok,21,14
kond1295,Konda-Dora,35,959
konk1267,Maharashtrian Konkani,30,723
kork1243,Korku,28,485
korr1238,Korra Koraga,27,102
kota1263,Kota (India),33,1456
koya1251,Koya,23,111
kuii1252,Kui (India),32,490
kuma1273,Kumaoni,31,1278
kuru1302,Kurukh,42,284
kuvi1243,Kuvi,36,554
lada1244,Leh-Kenhat,28,5176
lamb1269,Lambadi,62,361
lepc1244,Lepcha,26,1197
loth1237,Lotha Naga,29,511
lush1249,Mizo,23,102
mait1250,Maithili,28,62
mala1464,Malayalam,32,153
mani1292,Manipuri,22,312
maon1238,Mao Naga,19,1447
mara1378,Marathi,38,649
miju1243,Kman,35,1780
moyo1238,Moyon,26,670
mudh1235,Mudhili Gadaba,25,60
mund1320,Mundari,74,50
nepa1254,Nepali,33,1838
nort2699,Northwestern Kolami,27,265
nucl1305,Kannada,32,709
oriy1255,Odia,31,139
pait1244,Paite Chin,14,1313
panj1256,Eastern Panjabi,36,227
patt1248,Pattani,29,4066
peng1244,Pengo,25,798
pott1240,Pottangi Ollar Gadaba,27,923
ravu1237,Ravula,32,882
sans1269,Sanskrit,31,491
sant1410,Santali,34,30
saur1248,Saurashtra,30,214
saur1249,Sauria Paharia,25,137
shin1264,Shina,30,3704
sind1272,Sindhi,47,20
sora1254,Sora,26,944
sumi1235,Sumi Naga,30,790
tami1289,Tamil,31,106
tang1336,East-Central Tangkhul Naga,28,1520
tase1235,Pangwa Naga,15,834
telu1262,Telugu,35,440
thad1238,Thado Chin,21,1270
toda1252,Toda,37,347
tulu1258,Tulu,26,86
ural1274,Urali of Idukki,38,550
urdu1245,Urdu,39,50
vaag1238,Vaagri Booli,30,59
yeru1240,Yerukula,31,132
