Glottocode,language,trill,elevation
adze1240,Adzera,1,207
ainu1240,Hokkaido Ainu,1,216
akan1250,Akan,2,166
aleu1260,Aleut,1,82
amha1245,Amharic,1,3440
basq1248,Basque,1,362
bata1289,Batak Toba,1,948
bouy1240,Bouyei,1,774
bret1244,Breton,1,143
bulg1262,Bulgarian,2,98
buru1296,Burushaski,1,3309
cent1973,Central Pashto,2,1057
cent2050,Central Kanuri,1,314
cent2144,Central Mazahua,1,2941
chac1249,Cha'palaa,1,122
chip1261,Chipewyan,1,258
chiq1250,Chiquihuitlán Mazatec,1,1897
chuv1255,Chuvash,2,95
copa1236,Copainalá Zoque,1,526
egyp1253,Egyptian Arabic,1,6
even1260,Even,1,0
finn1318,Finnish,2,66
gaaa1244,Ga,1,94
gily1242,Nivkh,2,365
halh1238,Halh Mongolian,1,1305
haus1257,Hausa,1,600
hind1269,Hindi,2,416
hung1274,Hungarian,2,110
icel1247,Icelandic,2,0
iraq1241,Iraqw,1,1767
java1254,Javanese,1,112
kaba1278,Kabardian,1,1234
kash1277,Kashmiri,1,1623
khan1273,Kazym-Berezover-Suryskarer Khanty,1,54
khas1269,Khasi,1,38
kirg1245,Kirghiz,1,3699
komi1268,Komi-Zyrian,1,125
kota1263,Kota (India),1,1456
koyr1242,Koyraboro Senni Songhai,2,261
kumi1248,Tipai,1,297
kunj1245,Kunjen,1,162
kuru1302,Kurukh,3,284
lakk1252,Lak,1,2018
lith1251,Lithuanian,2,54
lugb1240,Lugbara,1,1225
malt1254,Maltese,2,44
mara1386,Maranunggu,1,23
marg1265,Marghi Central,1,426
masa1300,Masai,1,1187
maun1240,Mawng,1,28
moro1292,Moroccan Arabic,2,352
mund1320,Mundari,1,50
nene1249,Tundra Nenets,2,0
ngas1240,Ngas,1,1130
nobi1240,Nobiin,2,277
nort2745,Northern Yukaghir,1,0
nucl1235,Eastern Armenian,1,1912
nucl1302,Georgian,1,1338
nung1290,Wubuy,1,6
nyan1301,Nyangumarta,1,260
nyis1236,Nyishi-Hill Miri,1,996
panj1256,Eastern Panjabi,1,227
para1311,Paraguayan Guaraní,1,184
russ1263,Russian,2,185
saba1265,Sa'ban,1,1002
sanm1295,San Miguel El Grande Mixtec,1,2279
seda1262,Sedang,3,1287
soma1255,Somali,1,211
sout2961,Southern Tiwa,1,1532
sout2991,South Bolivian Quechua,1,4156
stan1288,Spanish,1,1202
stan1290,French,2,124
stan1295,German,1,368
stan1306,Standard Malay,1,54
swah1253,Swahili,1,200
taba1266,Tabasco Chontal,1,3
tari1263,Tarifiyt-Beni-Iznasen-Eastern Middle Atlas Berber,3,408
telu1262,Telugu,1,440
tigr1270,Tigre,2,2112
tosk1239,Northern Tosk Albanian,1,88
tuni1252,Tunica,1,40
tzel1254,Tzeltal,1,2091
wayu1243,Wayuu,1,37
west2369,Western Farsi,1,2174
wikm1247,Wik-Mungkan,1,32
yaku1245,Sakha,1,875
